t,ax,ay,az,temp,gx,gy,gz,roll,pitch,yaw,mx,my,mz,mx_cal,my_cal,mz_cal,naive_hdg,module_hdg,stab_hdg,stab_raw,mag_trust,field_ratio,dip
0.0,-0.388671875,0.13720703125,0.87255859375,28.35,-14.892578125,-29.47998046875,20.56884765625,8.7890625,21.884765625,-157.5823974609375,737.0,-1689.0,-2731.0,731.6,-1619.1,-2688.1,157.02,157.58,157.58,157.58,1.0,0.982,66.52
0.0,-0.3818359375,0.1318359375,0.90380859375,28.35,-25.2685546875,-91.064453125,0.0,7.9046630859375,19.27001953125,-157.1099853515625,592.0,-1664.0,-2778.0,587.2,-1593.4,-2733.8,153.46,157.11,157.11,157.11,1.0,0.981,65.76
0.0,-0.2421875,0.11181640625,1.0029296875,28.34,-32.3486328125,-61.82861328125,-0.91552734375,5.99853515625,14.776611328125,-157.3406982421875,390.0,-1596.0,-2847.0,386.2,-1524.0,-2801.5,165.4,157.34,157.34,157.34,1.0,0.98,67.21
0.0,-0.2158203125,0.060546875,0.9052734375,28.35,-27.4658203125,-109.68017578125,-19.71435546875,4.4329833984375,9.8712158203125,-157.928466796875,169.0,-1518.0,-2905.0,166.3,-1444.7,-2858.5,157.4,157.93,157.93,157.93,1.0,0.978,65.01
0.0,-0.11572265625,0.05419921875,1.0654296875,28.34,-25.7568359375,-96.00830078125,-25.87890625,2.4444580078125,4.28466796875,-159.0325927734375,-90.0,-1430.0,-2947.0,-91.8,-1355.8,-2899.6,161.19,159.03,159.03,159.03,1.0,0.977,66.54
0.0,0.01171875,0.03759765625,0.98681640625,28.34,-20.56884765625,-112.97607421875,-33.8134765625,1.3787841796875,-1.439208984375,-160.5322265625,-306.0,-1377.0,-2955.0,-307.3,-1302.9,-2906.8,167.13,160.53,160.53,160.53,1.0,0.977,67.55
0.016,0.12890625,0.03662109375,0.990234375,28.34,-4.82177734375,-107.84912109375,-48.4619140625,1.1260986328125,-6.7181396484375,-162.432861328125,-578.0,-1343.0,-2925.0,-579.2,-1270.3,-2875.7,170.36,162.43,160.53,161.31,1.0,0.976,68.34
0.047,0.130859375,-0.0078125,0.9580078125,28.32,-4.7607421875,-104.91943359375,-52.91748046875,1.2139892578125,-9.7064208984375,-163.76220703125,-706.0,-1343.0,-2896.0,-707.3,-1271.5,-2846.0,166.24,163.76,160.54,162.96,1.0,0.976,65.35
0.078,0.27685546875,0.0205078125,0.9814453125,28.32,-0.54931640625,-104.18701171875,-56.396484375,1.3677978515625,-12.45849609375,-165.1904296875,-823.0,-1352.0,-2860.0,-824.6,-1282.0,-2809.4,178.88,165.19,160.55,164.72,1.0,0.976,67.5
0.11,0.25927734375,0.04833984375,0.93115234375,28.31,-0.1220703125,-110.16845703125,-61.03515625,1.8072509765625,-15.5181884765625,-166.8548583984375,-938.0,-1369.0,-2815.0,-939.9,-1300.7,-2763.8,172.7,166.85,160.57,166.67,1.0,0.976,68.62
0.141,0.2412109375,0.0380859375,0.94384765625,28.32,-1.5869140625,-93.75,-49.4384765625,2.3016357421875,-18.3416748046875,-168.563232421875,-1045.0,-1394.0,-2764.0,-1047.4,-1327.6,-2712.1,164.78,168.56,160.6,168.21,1.0,0.977,66.75
0.172,0.353515625,0.05810546875,0.94140625,28.32,4.45556640625,-81.35986328125,-34.24072265625,2.79052734375,-20.6982421875,-169.6343994140625,-1143.0,-1419.0,-2712.0,-1145.9,-1354.5,-2659.6,174.61,169.63,161.62,169.27,1.0,0.977,68.08
0.203,0.42431640625,0.056640625,0.84423828125,28.32,9.09423828125,-83.80126953125,-36.92626953125,3.702392578125,-23.7139892578125,-170.892333984375,-1235.0,-1447.0,-2655.0,-1238.4,-1384.6,-2602.1,184.66,170.89,161.63,170.42,1.0,0.977,67.74
0.235,0.462890625,0.0615234375,0.861328125,28.32,1.77001953125,-72.81494140625,-45.166015625,4.405517578125,-25.762939453125,-172.2930908203125,-1342.0,-1490.0,-2580.0,-1346.1,-1430.3,-2526.4,182.4,172.29,161.66,171.87,1.0,0.979,67.05
0.266,0.4638671875,0.0908203125,0.87744140625,28.32,2.62451171875,-63.1103515625,-40.771484375,5.1416015625,-27.5482177734375,-173.69384765625,-1406.0,-1523.0,-2527.0,-1410.7,-1465.1,-2473.0,178.4,173.69,162.78,173.14,1.0,0.979,67.93
0.297,0.45166015625,0.09228515625,0.85791015625,28.31,12.939453125,-36.19384765625,-41.93115234375,6.0809326171875,-28.71826171875,-175.023193359375,-1452.0,-1562.0,-2479.0,-1457.2,-1505.9,-2424.5,175.45,175.02,162.79,174.45,1.0,0.98,67.2
0.328,0.45068359375,0.0654296875,0.83056640625,28.34,8.48388671875,-27.16064453125,-36.4990234375,7.020263671875,-29.4049072265625,-176.2701416015625,-1477.0,-1602.0,-2441.0,-1482.7,-1547.4,-2386.0,175.17,176.27,162.83,175.59,1.0,0.981,64.91
0.36,0.5146484375,0.13330078125,0.83447265625,28.34,2.86865234375,7.4462890625,-37.109375,7.7618408203125,-29.3060302734375,-177.3358154296875,-1478.0,-1641.0,-2419.0,-1484.1,-1587.5,-2363.5,183.67,177.34,164.23,176.78,1.0,0.983,68.11
0.391,0.54296875,0.138671875,0.86083984375,28.34,1.3427734375,12.75634765625,-33.26416015625,8.32763671875,-28.80615234375,-178.3795166015625,-1460.0,-1677.0,-2412.0,-1466.3,-1624.1,-2356.1,185.64,178.38,164.25,177.82,1.0,0.984,67.42
0.422,0.53076171875,0.16015625,0.85546875,28.35,10.009765625,7.9345703125,-42.05322265625,9.0966796875,-28.3941650390625,-179.5166015625,-1431.0,-1714.0,-2407.0,-1437.6,-1661.6,-2350.6,186.41,179.52,165.31,179.12,1.0,0.985,67.94
0.453,0.45068359375,0.1220703125,0.81396484375,28.31,-9.8876953125,32.71484375,-19.95849609375,9.7613525390625,-27.333984375,179.14306640625,-1373.0,-1757.0,-2417.0,-1379.8,-1704.8,-2360.1,181.38,180.86,165.33,179.75,1.0,0.986,65.5
0.485,0.443359375,0.1640625,0.849609375,28.34,-23.37646484375,45.2880859375,-18.798828125,9.3658447265625,-26.070556640625,178.681640625,-1315.0,-1770.0,-2448.0,-1321.6,-1717.1,-2390.9,181.98,181.32,166.45,180.37,1.0,0.988,67.53
0.516,0.42138671875,0.15234375,0.93603515625,28.35,-23.98681640625,91.49169921875,-18.1884765625,8.712158203125,-23.675537109375,178.297119140625,-1226.0,-1768.0,-2498.0,-1232.3,-1713.6,-2440.9,178.41,181.7,166.47,180.94,1.0,0.988,66.25
0.547,0.4091796875,0.15380859375,0.90625,28.32,-19.95849609375,92.4072265625,-8.72802734375,8.0804443359375,-20.98388671875,178.1982421875,-1120.0,-1758.0,-2559.0,-1125.8,-1701.7,-2502.1,184.11,181.8,167.56,181.22,1.0,0.989,66.98
0.578,0.32275390625,0.130859375,0.92041015625,28.35,-30.517578125,118.83544921875,9.3994140625,7.174072265625,-17.9351806640625,178.5882568359375,-997.0,-1738.0,-2626.0,-1002.2,-1679.5,-2569.6,178.46,181.41,167.58,180.93,1.0,0.989,66.23
0.61,0.30517578125,0.12353515625,0.97998046875,28.34,-26.55029296875,110.77880859375,18.37158203125,6.13037109375,-14.7601318359375,179.208984375,-868.0,-1708.0,-2694.0,-872.6,-1647.0,-2638.3,179.99,180.79,167.62,180.35,1.0,0.99,66.19
0.641,0.23388671875,0.10009765625,0.97216796875,28.34,-21.42333984375,99.42626953125,21.6064453125,5.2899169921875,-12.030029296875,179.923095703125,-743.0,-1676.0,-2755.0,-747.1,-1612.7,-2700.1,177.28,180.08,169.0,179.69,1.0,0.99,65.72
0.672,0.15966796875,0.0810546875,1.04248046875,28.32,-21.91162109375,80.322265625,22.8271484375,4.515380859375,-9.6624755859375,-179.461669921875,-632.0,-1642.0,-2805.0,-635.6,-1576.6,-2750.9,171.8,179.46,169.02,178.98,1.0,0.991,64.88
0.703,0.11962890625,0.07421875,1.0478515625,28.31,-14.5263671875,81.298828125,21.484375,3.9166259765625,-7.7178955078125,-178.912353515625,-531.0,-1612.0,-2846.0,-534.2,-1544.8,-2792.8,171.4,178.91,169.05,178.32,1.0,0.992,65.17
0.735,0.1015625,0.05322265625,1.015625,28.35,-17.15087890625,91.30859375,29.4189453125,3.2464599609375,-4.4329833984375,-178.011474609375,-389.0,-1576.0,-2892.0,-391.7,-1506.7,-2840.0,175.78,178.01,169.09,177.39,1.0,0.993,65.18
0.766,0.0146484375,0.0771484375,1.05908203125,28.37,-8.72802734375,58.349609375,24.84130859375,2.70263671875,-2.2027587890625,-177.264404296875,-287.0,-1549.0,-2920.0,-289.4,-1478.2,-2869.0,168.89,177.26,170.3,176.62,1.0,0.993,66.54
0.797,0.01123046875,0.064453125,1.0673828125,28.35,4.7607421875,46.630859375,23.74267578125,2.6641845703125,-0.791015625,-176.6876220703125,-204.0,-1533.0,-2937.0,-206.3,-1461.2,-2886.7,172.24,176.69,170.31,175.9,1.0,0.994,66.43
0.828,-0.0439453125,0.02001953125,1.00537109375,28.35,-0.3662109375,63.5986328125,31.005859375,2.8948974609375,0.6207275390625,-175.97900390625,-134.0,-1528.0,-2944.0,-136.3,-1455.6,-2894.3,169.31,175.98,170.32,174.95,1.0,0.994,63.98
0.86,-0.09521484375,0.0322265625,1.02197265625,28.35,-5.06591796875,62.92724609375,29.84619140625,2.8564453125,2.3675537109375,-175.1605224609375,-62.0,-1525.0,-2949.0,-64.2,-1452.1,-2899.9,166.08,175.16,170.34,174.0,1.0,0.994,64.41
0.891,-0.13818359375,0.07177734375,1.07763671875,28.37,2.13623046875,89.111328125,19.53125,2.79052734375,4.50439453125,-174.4573974609375,20.0,-1520.0,-2952.0,17.7,-1446.6,-2903.6,163.84,174.46,170.36,173.41,1.0,0.995,66.34
0.922,-0.12548828125,0.04736328125,1.03662109375,28.35,14.09912109375,80.2001953125,20.99609375,3.1201171875,6.9158935546875,-173.8641357421875,117.0,-1524.0,-2946.0,114.6,-1450.3,-2898.4,169.59,173.86,170.39,172.77,1.0,0.994,65.62
0.953,-0.1669921875,0.06005859375,0.978515625,28.34,4.82177734375,62.80517578125,22.52197265625,3.5430908203125,8.778076171875,-173.133544921875,205.0,-1535.0,-2935.0,202.4,-1461.2,-2888.0,166.84,173.13,170.41,172.08,1.0,0.994,66.06
0.985,-0.19287109375,0.0732421875,0.984375,28.34,-2.197265625,39.97802734375,17.822265625,3.6968994140625,10.1788330078125,-172.5787353515625,280.0,-1543.0,-2924.0,277.2,-1469.2,-2877.6,166.56,172.58,170.44,171.52,1.0,0.994,66.62
1.016,-0.25634765625,0.0751953125,1.0380859375,28.32,10.009765625,28.74755859375,14.6484375,3.7957763671875,10.9698486328125,-172.1722412109375,335.0,-1548.0,-2915.0,332.1,-1474.2,-2869.1,162.95,172.17,170.46,171.08,1.0,0.994,65.96
1.047,-0.23095703125,0.068359375,0.9990234375,28.32,7.32421875,-2.74658203125,20.69091796875,4.37255859375,11.3543701171875,-171.54052734375,369.0,-1561.0,-2905.0,365.9,-1487.4,-2859.2,166.59,171.54,170.48,170.45,1.0,0.995,65.89
1.078,-0.2099609375,0.072265625,0.94384765625,28.32,0.79345703125,-9.6435546875,23.0712890625,4.6197509765625,11.0906982421875,-170.9417724609375,374.0,-1576.0,-2895.0,370.7,-1502.8,-2849.1,167.75,170.94,170.5,169.75,1.0,0.994,66.16
1.11,-0.1513671875,0.10302734375,1.02001953125,28.31,-17.9443359375,-72.08251953125,16.845703125,4.4000244140625,9.86572265625,-170.4254150390625,337.0,-1574.0,-2900.0,333.8,-1500.9,-2853.8,174.96,170.43,170.52,169.22,1.0,0.994,68.06
1.141,-0.16943359375,0.09716796875,0.9716796875,28.29,-13.18359375,-73.66943359375,13.12255859375,3.9990234375,7.66845703125,-170.1123046875,261.0,-1564.0,-2911.0,258.0,-1490.9,-2864.2,167.83,170.11,170.53,168.83,1.0,0.994,67.76
1.172,-0.12548828125,0.0732421875,1.01513671875,28.35,-1.953125,-76.35498046875,11.8408203125,3.8616943359375,5.548095703125,-169.793701171875,166.0,-1553.0,-2921.0,163.2,-1480.0,-2873.5,170.97,169.79,170.54,168.48,1.0,0.993,66.6
1.203,-0.10546875,0.07373046875,1.01806640625,28.32,-2.25830078125,-95.39794921875,17.08984375,3.834228515625,3.0267333984375,-169.4146728515625,50.0,-1546.0,-2925.0,47.4,-1473.4,-2876.7,168.41,169.41,170.54,167.97,1.0,0.992,66.52
1.235,-0.05126953125,0.08251953125,0.994140625,28.39,7.50732421875,-56.2744140625,-7.75146484375,3.9605712890625,1.16455078125,-169.2608642578125,-55.0,-1544.0,-2924.0,-57.6,-1471.9,-2874.9,170.27,169.26,170.54,168.23,1.0,0.991,67.29
1.266,-0.02685546875,0.0849609375,0.9794921875,28.39,8.7890625,-49.1943359375,-10.80322265625,4.2022705078125,-0.439453125,-169.4476318359375,-149.0,-1548.0,-2917.0,-151.6,-1476.5,-2867.1,169.22,169.45,170.54,168.58,1.0,0.991,67.31
1.297,0.01904296875,0.07177734375,0.98291015625,28.35,10.25390625,-44.73876953125,-10.1318359375,4.581298828125,-2.1917724609375,-169.749755859375,-227.0,-1557.0,-2905.0,-229.6,-1486.3,-2854.5,172.29,169.75,170.53,168.91,1.0,0.99,66.51
1.328,0.08544921875,0.07958984375,1.0048828125,28.35,11.71875,-65.673828125,-4.45556640625,4.9163818359375,-3.636474609375,-169.8541259765625,-327.0,-1573.0,-2886.0,-329.8,-1503.4,-2834.6,176.41,169.85,170.53,169.06,1.0,0.99,66.67
1.36,0.068359375,0.099609375,0.96826171875,28.32,8.9111328125,-49.37744140625,-14.22119140625,5.2459716796875,-5.2294921875,-170.1177978515625,-400.0,-1587.0,-2868.0,-403.0,-1518.4,-2816.0,170.94,170.12,170.52,169.53,1.0,0.99,67.43
1.391,0.09619140625,0.1005859375,0.94287109375,28.34,4.7607421875,-49.560546875,-18.98193359375,5.4986572265625,-6.4324951171875,-170.6561279296875,-462.0,-1600.0,-2851.0,-465.1,-1532.2,-2798.5,172.32,170.66,170.51,170.12,1.0,0.99,67.42
1.422,0.126953125,0.09228515625,0.95654296875,28.32,-0.1220703125,-42.17529296875,-17.63916015625,5.6414794921875,-7.6629638671875,-171.1724853515625,-518.0,-1612.0,-2835.0,-521.3,-1545.0,-2782.0,173.95,171.17,170.5,170.67,1.0,0.99,66.66
1.453,0.111328125,0.10400390625,0.97021484375,28.31,0.54931640625,-36.376953125,-16.4794921875,5.6964111328125,-8.72314453125,-171.58447265625,-568.0,-1619.0,-2821.0,-571.4,-1552.6,-2767.7,169.25,171.58,170.5,171.19,1.0,0.99,66.78
1.485,0.138671875,0.11962890625,0.9716796875,28.32,-0.30517578125,-35.2783203125,-16.2353515625,5.789794921875,-9.6624755859375,-172.034912109375,-612.0,-1625.0,-2809.0,-615.5,-1559.2,-2755.4,170.66,172.03,170.49,171.71,1.0,0.99,67.64
1.516,0.177734375,0.08642578125,0.94091796875,28.35,-0.79345703125,-20.1416015625,-18.12744140625,5.943603515625,-10.3326416015625,-172.5677490234375,-644.0,-1632.0,-2798.0,-647.6,-1566.7,-2744.1,175.42,172.57,170.49,172.27,1.0,0.99,65.97
1.547,0.19580078125,0.09716796875,0.943359375,28.34,-5.18798828125,-19.775390625,-8.60595703125,5.9381103515625,-10.8270263671875,-172.9248046875,-671.0,-1636.0,-2791.0,-674.6,-1571.0,-2736.9,176.53,172.92,170.5,172.55,1.0,0.991,66.54
1.578,0.22802734375,0.11181640625,1.00732421875,28.32,8.9111328125,-42.17529296875,-14.404296875,5.987548828125,-11.722412109375,-173.2763671875,-704.0,-1640.0,-2780.0,-707.7,-1575.4,-2725.7,177.39,173.28,170.5,173.0,1.0,0.991,66.89
1.61,0.17919921875,0.10791015625,0.97900390625,28.32,7.14111328125,-35.0341796875,-8.23974609375,6.3775634765625,-12.9913330078125,-173.6993408203125,-748.0,-1650.0,-2762.0,-751.9,-1586.2,-2707.4,169.95,173.7,170.51,173.27,1.0,0.991,66.24
1.641,0.2216796875,0.115234375,0.9482421875,28.35,7.8125,-30.21240234375,-5.79833984375,6.78955078125,-14.2767333984375,-174.0399169921875,-792.0,-1663.0,-2743.0,-796.1,-1600.0,-2688.1,174.19,174.04,170.53,173.46,1.0,0.992,66.82
1.672,0.27685546875,0.13427734375,0.92431640625,28.31,-5.615234375,-3.84521484375,-6.40869140625,6.8499755859375,-14.4964599609375,-174.19921875,-828.0,-1677.0,-2727.0,-832.2,-1614.7,-2671.7,180.92,174.2,170.54,173.67,1.0,0.992,67.93
1.703,0.251953125,0.12841796875,1.01513671875,28.4,-5.18798828125,-1.03759765625,-6.65283203125,6.7510986328125,-14.501953125,-174.3585205078125,-840.0,-1681.0,-2722.0,-844.3,-1618.9,-2666.6,173.77,174.36,170.56,173.89,1.0,0.993,66.69
1.735,0.259765625,0.12255859375,0.986328125,28.31,5.7373046875,-8.1787109375,-6.2255859375,6.92138671875,-14.776611328125,-174.48486328125,-853.0,-1686.0,-2716.0,-857.4,-1624.2,-2660.5,175.05,174.48,170.59,174.09,1.0,0.993,66.51
1.766,0.22607421875,0.13037109375,0.982421875,28.35,5.615234375,-5.2490234375,-10.31494140625,7.174072265625,-14.908447265625,-174.7430419921875,-858.0,-1695.0,-2710.0,-862.4,-1633.4,-2654.4,170.71,174.74,170.62,174.42,1.0,0.994,66.55
1.797,0.25927734375,0.14208984375,0.9384765625,28.35,0.06103515625,22.4609375,-8.544921875,7.393798828125,-14.4305419921875,-175.01220703125,-848.0,-1706.0,-2708.0,-852.5,-1644.6,-2652.3,176.9,175.01,170.65,174.69,1.0,0.994,67.64
1.828,0.26318359375,0.154296875,0.9912109375,28.35,0.732421875,23.74267578125,-10.07080078125,7.4652099609375,-13.699951171875,-175.2154541015625,-824.0,-1715.0,-2712.0,-828.6,-1653.5,-2656.2,176.69,175.22,170.69,175.0,1.0,0.995,67.72
1.86,0.20361328125,0.115234375,0.93310546875,28.37,-0.8544921875,47.30224609375,-15.869140625,7.6190185546875,-12.81005859375,-175.4351806640625,-787.0,-1725.0,-2718.0,-791.6,-1663.4,-2662.2,172.63,175.44,171.75,175.51,1.0,0.995,65.64
1.891,0.2060546875,0.1181640625,1.0166015625,28.34,-6.103515625,53.3447265625,-8.4228515625,7.44873046875,-10.689697265625,-175.7098388671875,-728.0,-1730.0,-2734.0,-732.5,-1667.9,-2678.4,173.44,175.71,171.76,175.77,1.0,0.995,65.25
1.922,0.189453125,0.09814453125,0.96923828125,28.34,-9.58251953125,57.67822265625,-3.5400390625,7.1905517578125,-9.0582275390625,-175.7427978515625,-657.0,-1730.0,-2754.0,-661.4,-1667.1,-2698.7,175.68,175.74,171.77,175.88,1.0,0.996,64.58
1.953,0.111328125,0.12744140625,1.01513671875,28.4,-11.23046875,44.5556640625,-1.03759765625,6.78955078125,-7.613525390625,-175.67138671875,-561.0,-1720.0,-2783.0,-565.2,-1655.9,-2728.3,169.28,175.67,171.79,175.9,1.0,0.996,65.84
1.985,0.09716796875,0.1259765625,1.0,28.32,-11.41357421875,54.26025390625,-3.41796875,6.448974609375,-6.15234375,-175.682373046875,-486.0,-1708.0,-2806.0,-490.0,-1642.9,-2751.8,170.9,175.68,171.81,176.0,1.0,0.997,66.31
2.016,0.04541015625,0.1015625,1.00390625,28.34,-12.14599609375,71.22802734375,-1.8310546875,6.1468505859375,-4.0155029296875,-175.7373046875,-394.0,-1696.0,-2828.0,-397.8,-1629.8,-2774.5,168.79,175.74,171.84,176.04,1.0,0.997,65.04
2.047,0.025390625,0.1103515625,1.04052734375,28.35,-12.939453125,72.32666015625,-1.46484375,5.77880859375,-1.9500732421875,-175.682373046875,-297.0,-1682.0,-2848.0,-300.7,-1614.7,-2795.2,170.09,175.68,171.87,176.07,1.0,0.997,65.77
2.078,0.03857421875,0.1015625,1.0068359375,28.35,-9.82666015625,53.28369140625,0.732421875,5.51513671875,-0.2032470703125,-175.62744140625,-204.0,-1669.0,-2865.0,-207.5,-1600.7,-2813.0,175.87,175.63,171.91,176.03,1.0,0.997,66.1
2.11,-0.05224609375,0.09228515625,1.037109375,28.37,-2.3193359375,51.33056640625,-5.06591796875,5.25146484375,1.197509765625,-175.693359375,-119.0,-1657.0,-2877.0,-122.4,-1587.9,-2825.8,168.52,175.69,172.91,176.18,1.0,0.997,65.24
2.141,-0.06689453125,0.0830078125,1.0087890625,28.37,-2.44140625,66.162109375,-6.77490234375,5.196533203125,2.7960205078125,-175.858154296875,-31.0,-1649.0,-2884.0,-34.4,-1579.2,-2833.5,170.31,175.86,172.92,176.38,1.0,0.997,65.2
2.172,-0.11669921875,0.0732421875,1.02490234375,28.32,-14.16015625,51.94091796875,7.62939453125,5.0372314453125,4.5867919921875,-175.9075927734375,57.0,-1639.0,-2889.0,53.6,-1568.5,-2839.4,168.43,175.91,172.93,176.14,1.0,0.997,64.62
2.203,-0.109375,0.0673828125,1.02392578125,28.39,-15.5029296875,50.23193359375,13.61083984375,4.5208740234375,6.470947265625,-175.4901123046875,160.0,-1619.0,-2896.0,156.7,-1547.5,-2847.5,173.44,175.49,172.94,175.71,1.0,0.998,65.1
2.235,-0.11669921875,0.04296875,0.98681640625,28.35,-23.98681640625,30.45654296875,32.71484375,4.010009765625,7.470703125,-174.7540283203125,216.0,-1598.0,-2905.0,212.8,-1525.7,-2857.3,174.64,174.75,172.95,174.67,1.0,0.998,64.33
2.266,-0.1279296875,0.11865234375,1.02783203125,28.35,-19.287109375,15.19775390625,27.9541015625,3.53759765625,7.943115234375,-173.9520263671875,246.0,-1574.0,-2914.0,243.0,-1501.0,-2866.9,173.65,173.95,172.97,173.8,1.0,0.998,68.88
2.297,-0.166015625,0.0654296875,0.99853515625,28.35,-8.23974609375,-1.89208984375,21.1181640625,3.438720703125,7.84423828125,-173.4466552734375,255.0,-1558.0,-2922.0,252.1,-1484.6,-2875.1,169.63,173.45,172.98,173.15,1.0,0.998,66.1
2.328,-0.17626953125,0.0517578125,0.986328125,28.4,-8.6669921875,-6.9580078125,20.99609375,3.2958984375,7.613525390625,-172.8863525390625,248.0,-1545.0,-2928.0,245.3,-1471.3,-2881.3,168.11,172.89,173.0,172.5,1.0,0.998,65.47
2.36,-0.14013671875,0.0380859375,1.01708984375,28.37,-6.40869140625,-21.240234375,30.8837890625,3.1915283203125,7.20703125,-172.166748046875,225.0,-1533.0,-2935.0,222.4,-1459.1,-2888.2,172.37,172.17,173.01,171.52,1.0,0.997,65.17
2.391,-0.13037109375,0.06689453125,0.994140625,28.37,-6.40869140625,-28.25927734375,34.60693359375,3.1365966796875,6.3885498046875,-171.199951171875,179.0,-1524.0,-2940.0,176.5,-1450.1,-2893.0,170.39,171.2,173.01,170.46,1.0,0.996,66.92
2.422,-0.10107421875,0.06689453125,0.984375,28.39,6.103515625,-47.18017578125,35.15625,3.3563232421875,5.1141357421875,-170.123291015625,113.0,-1521.0,-2943.0,110.6,-1447.3,-2895.4,171.15,170.12,173.01,169.37,1.0,0.996,67.05
2.453,-0.07763671875,0.05859375,1.0263671875,28.35,8.9111328125,-39.24560546875,25.08544921875,3.790283203125,3.3673095703125,-168.99169921875,37.0,-1525.0,-2940.0,34.6,-1451.8,-2891.8,171.62,168.99,173.0,168.6,1.0,0.995,66.34
2.485,-0.0751953125,0.0810546875,1.00537109375,28.35,10.6201171875,-39.24560546875,23.37646484375,4.130859375,2.2027587890625,-168.277587890625,-62.0,-1537.0,-2930.0,-64.5,-1464.7,-2880.9,166.87,168.28,172.98,167.86,1.0,0.994,67.03
2.516,-0.0361328125,0.0771484375,1.0,28.35,14.95361328125,-34.36279296875,18.85986328125,4.6087646484375,1.2469482421875,-167.7996826171875,-130.0,-1551.0,-2918.0,-132.6,-1479.5,-2868.2,169.19,167.8,172.96,167.28,1.0,0.993,66.71
2.547,-0.04541015625,0.08251953125,1.005859375,28.35,9.765625,-33.8134765625,21.78955078125,4.9603271484375,0.2471923828125,-167.1624755859375,-200.0,-1564.0,-2905.0,-202.7,-1493.3,-2854.6,165.02,167.16,172.93,166.61,1.0,0.993,66.27
2.578,0.00146484375,0.09130859375,0.9970703125,28.32,7.01904296875,-47.05810546875,32.958984375,5.2239990234375,-1.0711669921875,-166.2506103515625,-279.0,-1575.0,-2891.0,-281.8,-1505.1,-2839.9,167.39,166.25,171.92,165.59,1.0,0.992,66.81
2.61,0.04345703125,0.10107421875,1.01953125,28.32,-1.3427734375,-56.0302734375,39.794921875,5.2294921875,-2.61474609375,-165.16845703125,-369.0,-1575.0,-2878.0,-371.8,-1505.8,-2826.4,168.6,165.17,171.91,164.33,1.0,0.992,67.3
2.641,0.03466796875,0.12158203125,0.9931640625,28.35,2.13623046875,-46.875,24.169921875,5.196533203125,-4.1473388671875,-164.234619140625,-463.0,-1572.0,-2864.0,-465.9,-1503.5,-2811.9,162.51,164.23,171.89,163.59,1.0,0.991,68.01
2.672,0.0693359375,0.1015625,0.974609375,28.37,3.84521484375,-34.72900390625,-7.8125,5.284423828125,-5.2459716796875,-164.02587890625,-541.0,-1569.0,-2849.0,-543.9,-1501.2,-2796.5,164.43,164.03,171.85,163.83,1.0,0.991,67.18
2.703,0.103515625,0.1064453125,1.046875,28.39,4.0283203125,-48.2177734375,-15.625,5.416259765625,-6.70166015625,-164.3719482421875,-605.0,-1571.0,-2834.0,-608.0,-1503.8,-2781.2,165.27,164.37,170.76,164.32,1.0,0.991,67.04
2.735,0.12841796875,0.0947265625,1.0068359375,28.39,11.962890625,-66.40625,-14.404296875,5.7293701171875,-8.2891845703125,-164.8333740234375,-668.0,-1576.0,-2815.0,-671.1,-1509.6,-2761.8,166.37,164.83,170.75,164.78,1.0,0.99,66.56
2.766,0.19482421875,0.0771484375,0.9296875,28.39,5.37109375,-53.8330078125,-20.56884765625,6.1029052734375,-10.030517578125,-165.4156494140625,-759.0,-1593.0,-2781.0,-762.4,-1528.0,-2727.2,172.76,165.42,170.73,165.42,1.0,0.99,66.02
2.797,0.22900390625,0.12744140625,0.95458984375,28.39,1.40380859375,-56.57958984375,-18.73779296875,6.3336181640625,-11.53564453125,-166.058349609375,-824.0,-1606.0,-2753.0,-827.7,-1542.0,-2698.8,173.22,166.06,170.71,166.0,1.0,0.99,68.49
2.828,0.2294921875,0.1181640625,0.99853515625,28.35,8.1787109375,-80.26123046875,-21.91162109375,6.668701171875,-13.53515625,-166.915283203125,-896.0,-1619.0,-2720.0,-900.0,-1556.3,-2665.5,168.63,166.92,170.68,166.68,1.0,0.99,66.99
2.86,0.2421875,0.111328125,0.9365234375,28.32,10.80322265625,-69.9462890625,-21.97265625,7.174072265625,-15.611572265625,-167.71728515625,-971.0,-1637.0,-2680.0,-975.3,-1575.7,-2625.1,168.73,167.72,170.65,167.39,1.0,0.989,66.53
2.891,0.26513671875,0.13037109375,0.91943359375,28.34,0.6103515625,-39.36767578125,-22.705078125,7.5750732421875,-17.0013427734375,-168.497314453125,-1034.0,-1656.0,-2644.0,-1038.7,-1596.0,-2588.7,169.13,168.5,170.62,168.09,1.0,0.989,67.32
2.922,0.263671875,0.125,0.96923828125,28.39,2.0751953125,-13.24462890625,-19.47021484375,7.822265625,-17.6165771484375,-169.1180419921875,-1073.0,-1673.0,-2620.0,-1077.9,-1614.0,-2564.4,165.7,169.12,170.59,168.7,1.0,0.99,65.9
2.953,0.357421875,0.146484375,0.896484375,28.35,2.86865234375,-15.7470703125,-11.65771484375,8.1024169921875,-17.764892578125,-169.4586181640625,-1094.0,-1688.0,-2602.0,-1099.1,-1629.7,-2546.1,179.69,169.46,170.56,169.07,1.0,0.99,68.14
2.985,0.34716796875,0.1591796875,0.92431640625,28.37,-1.03759765625,-22.94921875,-19.287109375,8.3001708984375,-18.2427978515625,-169.9639892578125,-1112.0,-1702.0,-2587.0,-1117.3,-1644.3,-2530.9,175.91,169.96,170.53,169.69,1.0,0.991,68.22
